id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,neighborhood
33370525,Deluxe Room 2 Double Beds 2 Full Beds,251141990,April,,Downtown/Civic Center,37.787420000000004,-122.41195,Hotel room,345,1,1,2019-05-19,0.06,5,0,Downtown/Civic Center
33370910,Economy Petite 2 Double Beds,251141990,April,,Downtown/Civic Center,37.78499,-122.40888999999999,Hotel room,337,1,1,2019-08-19,0.07,5,0,Downtown/Civic Center
33386303,Deluxe Room 1 Queen Bed,251141990,April,,Financial District,37.79404,-122.40186000000001,Hotel room,388,1,0,,,5,0,Financial District
33400608,N&J Garden Guest House,8513389,Jorge & Nicolas,,Western Addition,37.77737,-122.44476999999999,Entire home/apt,130,30,5,2020-04-17,0.34,1,0,Western Addition
33400825,Sonder *Weekly Discounts* Airy Room at Hayes Valley,219930816,Sonder (San Francisco),,Western Addition,37.77418,-122.42376000000002,Private room,104,2,18,2020-09-09,1.04,34,163,Western Addition
33401021,Sonder *Monthly Discounts* Spacious Room at Hayes Valley,219930816,Sonder (San Francisco),,Western Addition,37.77531,-122.42376999999999,Private room,135,2,40,2020-09-20,2.19,34,166,Western Addition
33405043,A+ Studio Hotel Style Suite-Heart of Union Square,70722023,Michael,,Downtown/Civic Center,37.78998,-122.40794,Entire home/apt,65,2,10,2020-02-06,0.55,55,0,Downtown/Civic Center
33419983,Spacious bright loft in the heart of the city,1780407,Feb,,South of Market,37.77711,-122.39533999999999,Entire home/apt,165,90,0,,,1,277,South of Market
33420461,Amazing Urban Cottage With Post Card Views,377744,Scott,,North Beach,37.7999,-122.4042,Entire home/apt,450,30,3,2020-03-09,0.21,2,0,North Beach
33420931,Sonder | Lovely Room | Discounted Rates,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.7744,-122.4218,Private room,89,2,14,2019-12-18,0.76,34,162,Downtown/Civic Center
33421098,Sonder | Private Room | Discounted Rates,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.77517,-122.42218999999999,Private room,102,2,14,2020-09-13,0.77,34,170,Downtown/Civic Center
33421279,Sonder *Weekly Discounts* Room Near Whole Foods Market,219930816,Sonder (San Francisco),,Western Addition,37.77512,-122.42388000000001,Private room,117,2,22,2020-02-02,1.21,34,165,Western Addition
33421281,Sonder *Monthly Discounts* Room Near Whole Foods Market,219930816,Sonder (San Francisco),,Western Addition,37.775729999999996,-122.42315,Private room,102,2,19,2020-08-16,1.26,34,171,Western Addition
33430562,Private Top Floor + Ocean Views in Ashbury Heights,30474972,Dana,,Haight Ashbury,37.762890000000006,-122.44561000000002,Private room,500,1,0,,,3,0,Haight Ashbury
33431036,SOMA apartment San Francisco 7th Street,251857916,Aminah,,South of Market,37.77874,-122.41065,Entire home/apt,65,30,1,2019-05-11,0.06,2,364,South of Market
33451367,Long Term Visit!,222767094,Megan,,Haight Ashbury,37.77178,-122.44356,Entire home/apt,399,30,2,2019-08-07,0.11,2,364,Haight Ashbury
33452479,2BR Dreamforce Oasis 10 mins to Moscone Center!,252019117,Jill,,South of Market,37.7715,-122.4136,Entire home/apt,449,2,10,2019-08-12,0.59,1,0,South of Market
33457138,Spacious Bedroom w/ Private Bath & Private Entry,694440,Yuca,,Castro/Upper Market,37.76245,-122.44192,Private room,130,3,64,2020-03-07,3.48,2,173,Castro/Upper Market
33489653,UNION SQUARE- 1 BEDROOM RESORT CONDO,100238132,Michael,,Downtown/Civic Center,37.78853,-122.41311,Entire home/apt,243,3,2,2020-02-27,0.11,21,271,Downtown/Civic Center
33489755,UNION SQUARE- 1 BEDROOM RESORT CONDO,100238132,Michael,,Downtown/Civic Center,37.78931,-122.41363,Entire home/apt,243,3,1,2020-02-27,0.14,21,270,Downtown/Civic Center
33489844,Wyndham Canterbury San Francisco (1 bedroom condo),100238132,Michael,,Downtown/Civic Center,37.78792,-122.41186,Entire home/apt,243,3,2,2020-02-27,0.11,21,272,Downtown/Civic Center
33489920,Wyndham Canterbury San Francisco (1 bedroom condo),100238132,Michael,,Downtown/Civic Center,37.78949,-122.41327,Entire home/apt,266,3,7,2020-02-27,0.4,21,270,Downtown/Civic Center
33493552,Spacious Flat With Garden Near Alamo Square,48537207,Knute,,Western Addition,37.776759999999996,-122.44058999999999,Entire home/apt,199,2,5,2019-06-08,0.28,1,0,Western Addition
33495561,Ocean Beach Getaway - Entire spacious suite,13630570,Matthew And Haihai,,Outer Richmond,37.77447,-122.50667,Entire home/apt,199,1,76,2020-10-04,5.35,1,72,Outer Richmond
33517793,3-bedroom Luxury Condo,218110608,Na,,Russian Hill,37.80498,-122.42373,Entire home/apt,1300,1,19,2020-07-05,1.09,6,363,Russian Hill
33521977,Entire flat 2 br. 1ba. Presido & GGpark. 4-6guest,4401512,Sumi,,Inner Richmond,37.784929999999996,-122.46081000000001,Entire home/apt,199,3,25,2020-02-22,1.49,1,263,Inner Richmond
33526719,Sutro Heights Beauty - suite near Ocean Beach,1936903,Cynthia,,Outer Richmond,37.77628,-122.50663,Private room,122,1,12,2020-02-02,1.04,1,235,Outer Richmond
33528893,Exceptional Home close to everything,4349750,Ramona And Arran,,Bernal Heights,37.7398,-122.41665,Entire home/apt,330,4,15,2020-08-08,0.9,2,0,Bernal Heights
33534825,Nob Hill Boutique Hotel-Trendy Bar-King Bed,245417224,Stanford Court,,Nob Hill,37.79183,-122.40959,Hotel room,189,1,71,2019-12-28,4.08,12,311,Nob Hill
33537651,Nob Hill Boutique Hotel Rm-Courtyard View-2 Qn Bds,245417224,Stanford Court,,Nob Hill,37.79182,-122.40961999999999,Hotel room,219,1,15,2020-02-02,0.92,12,319,Nob Hill
33537652,Nob Hill Boutique Hotel-Trendy Bar-King Bed,245417224,Stanford Court,,Nob Hill,37.79183,-122.40959,Hotel room,199,1,13,2019-12-29,0.8,12,321,Nob Hill
33537653,Nob Hill Boutique Hotel-SKYLINE VIEW-Studio Suite,245417224,Stanford Court,,Nob Hill,37.79184,-122.40961999999999,Hotel room,229,1,1,2019-12-30,0.11,12,319,Nob Hill
33537656,Nob Hill Modern Lux Hotel-SKYLINE CITY VIEW-2 Qns,245417224,Stanford Court,,Nob Hill,37.79183,-122.40961999999999,Hotel room,259,1,0,,,12,319,Nob Hill
33537657,Nob Hill Boutique Hotel-SPECTACULAR SKYLINE VIEWS!,245417224,Stanford Court,,Nob Hill,37.79183,-122.40963,Hotel room,209,1,18,2020-02-08,1.05,12,319,Nob Hill
33537658,Nob Hill Hotel-SPECTACULAR SKYLINE VIEWS of SF!,245417224,Stanford Court,,Nob Hill,37.79183,-122.40961000000001,Hotel room,219,1,6,2020-03-02,0.35,12,319,Nob Hill
33537659,Nob Hill Lux Boutique Hotel-Trendy Bar!,245417224,Stanford Court,,Nob Hill,37.79183,-122.40957,Hotel room,189,1,28,2020-01-05,1.57,12,319,Nob Hill
33537660,Nob Hill LUXURY SUITE-Bedrm/Living Area-CITY VIEWS,245417224,Stanford Court,,Nob Hill,37.79183,-122.40963,Hotel room,529,1,0,,,12,319,Nob Hill
33537661,Nob Hill Boutique Hotel-SKYLINE CTY VIEW-2 Doubles,245417224,Stanford Court,,Nob Hill,37.79183,-122.40965,Hotel room,249,1,0,,,12,319,Nob Hill
33537662,Nob Hill LUXURY HOTEL SUITE-1400SqFt-CITY VIEWS,245417224,Stanford Court,,Nob Hill,37.79183,-122.40965,Hotel room,679,30,0,,,12,319,Nob Hill
33551130,1BR Mission Bay Condo near Caltrain,48005494,Zeus,,South of Market,37.77687,-122.39773999999998,Entire home/apt,184,30,0,,,102,0,South of Market
33551880,Cozy In-Law suite with amazing backyard,156818277,Jesse,,Marina,37.79874,-122.42983000000001,Entire home/apt,225,45,4,2019-12-02,0.22,1,0,Marina
33557590,Inexpensive couch or single moveable fold out cot.,1776403,Ken,,Mission,37.75797,-122.41129,Shared room,130,1,0,,,5,146,Mission
33561856,*CDC-RECOMD CLEANING*FULLY STOCKED* PHARM/SHP 1BLK,22913583,Trevor,,Russian Hill,37.79875,-122.40867,Entire home/apt,105,30,5,2020-08-14,0.32,2,219,Russian Hill
33563347,Nob Hill Lux Boutique Hotel Room-One Queen Bed,245417224,Stanford Court,,Nob Hill,37.79184,-122.40965,Hotel room,179,1,74,2020-03-01,4.21,12,311,Nob Hill
